"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /todos and asserts a 200 response with a correct schema response","71","Verify that /todos is returning a 200 response","Test Suite","Mon Jan 13 01:18:28 GMT 2025","passed","Mon Jan 13 01:18:28 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
"Does a get to /posts and asserts a 200 response with a correct schema response","1754","Verify that /posts is returning a 200 response","Test Suite","Mon Jan 13 01:18:26 GMT 2025","passed","Mon Jan 13 01:18:28 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /users and asserts a 200 response with a correct schema response","73","Verify that /users is returning a 200 response","Test Suite","Mon Jan 13 01:18:28 GMT 2025","passed","Mon Jan 13 01:18:28 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
