"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /users and asserts that 10 items are returned","79","Verify that /users is returning the correct amount of items","Test Suite","Mon Mar 10 02:12:53 GMT 2025","passed","Mon Mar 10 02:12:53 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturnsCorrectAmountOfItems"
"Does a get to /posts and asserts that 100 items are returned","1856","Verify that /posts is returning the correct amount of items","Test Suite","Mon Mar 10 02:12:51 GMT 2025","passed","Mon Mar 10 02:12:53 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturnsCorrectAmountOfItems"
"Does a get to /todos and asserts that 200 items are returned","129","Verify that /todos is returning the correct amount of items","Test Suite","Mon Mar 10 02:12:53 GMT 2025","passed","Mon Mar 10 02:12:53 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturnsCorrectAmountOfItems"
