"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /posts and asserts that 100 items are returned","1858","Verify that /posts is returning the correct amount of items","Test Suite","Mon Mar 09 03:53:52 UTC 2026","passed","Mon Mar 09 03:53:54 UTC 2026","tests.Posts","Gradle test","tests.Posts","checkPostsReturnsCorrectAmountOfItems"
"Does a get to /users and asserts that 10 items are returned","60","Verify that /users is returning the correct amount of items","Test Suite","Mon Mar 09 03:53:54 UTC 2026","passed","Mon Mar 09 03:53:54 UTC 2026","tests.Users","Gradle test","tests.Users","checkUsersReturnsCorrectAmountOfItems"
"Does a get to /todos and asserts that 200 items are returned","97","Verify that /todos is returning the correct amount of items","Test Suite","Mon Mar 09 03:53:54 UTC 2026","passed","Mon Mar 09 03:53:54 UTC 2026","tests.Todos","Gradle test","tests.Todos","checkTodosReturnsCorrectAmountOfItems"
