"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /todos and asserts that 200 items are returned","92","Verify that /todos is returning the correct amount of items","Test Suite","Mon May 11 05:10:24 UTC 2026","passed","Mon May 11 05:10:24 UTC 2026","tests.Todos","Gradle test","tests.Todos","checkTodosReturnsCorrectAmountOfItems"
"Does a get to /users and asserts that 10 items are returned","62","Verify that /users is returning the correct amount of items","Test Suite","Mon May 11 05:10:24 UTC 2026","passed","Mon May 11 05:10:24 UTC 2026","tests.Users","Gradle test","tests.Users","checkUsersReturnsCorrectAmountOfItems"
"Does a get to /posts and asserts that 100 items are returned","1605","Verify that /posts is returning the correct amount of items","Test Suite","Mon May 11 05:10:23 UTC 2026","passed","Mon May 11 05:10:24 UTC 2026","tests.Posts","Gradle test","tests.Posts","checkPostsReturnsCorrectAmountOfItems"
