"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /posts and asserts a 200 response with a correct schema response","1789","Verify that /posts is returning a 200 response","Test Suite","Sun Jan 26 01:15:02 GMT 2025","passed","Sun Jan 26 01:15:04 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /todos and asserts a 200 response with a correct schema response","62","Verify that /todos is returning a 200 response","Test Suite","Sun Jan 26 01:15:04 GMT 2025","passed","Sun Jan 26 01:15:04 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
"Does a get to /users and asserts a 200 response with a correct schema response","77","Verify that /users is returning a 200 response","Test Suite","Sun Jan 26 01:15:04 GMT 2025","passed","Sun Jan 26 01:15:04 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
