"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /users and asserts a 200 response with a correct schema response","64","Verify that /users is returning a 200 response","Test Suite","Wed Mar 04 03:42:07 UTC 2026","passed","Wed Mar 04 03:42:08 UTC 2026","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
"Does a get to /posts and asserts a 200 response with a correct schema response","1820","Verify that /posts is returning a 200 response","Test Suite","Wed Mar 04 03:42:05 UTC 2026","passed","Wed Mar 04 03:42:07 UTC 2026","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /todos and asserts a 200 response with a correct schema response","68","Verify that /todos is returning a 200 response","Test Suite","Wed Mar 04 03:42:07 UTC 2026","passed","Wed Mar 04 03:42:07 UTC 2026","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
