"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /users and asserts a 200 response with a correct schema response","80","Verify that /users is returning a 200 response","Test Suite","Fri Jan 24 01:12:57 GMT 2025","passed","Fri Jan 24 01:12:57 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
"Does a get to /posts and asserts a 200 response with a correct schema response","1743","Verify that /posts is returning a 200 response","Test Suite","Fri Jan 24 01:12:56 GMT 2025","passed","Fri Jan 24 01:12:57 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /todos and asserts a 200 response with a correct schema response","56","Verify that /todos is returning a 200 response","Test Suite","Fri Jan 24 01:12:57 GMT 2025","passed","Fri Jan 24 01:12:57 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
