"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 00:54:51 GMT 2024","Wed Jul 31 00:54:51 GMT 2024","69","Test Suite","Gradle test","tests.Todos","tests.Todos","checkTodosReturns200","Verify that /todos is returning a 200 response","Does a get to /todos and asserts a 200 response with a correct schema response"
"passed","Wed Jul 31 00:54:51 GMT 2024","Wed Jul 31 00:54:51 GMT 2024","64","Test Suite","Gradle test","tests.Users","tests.Users","checkUsersReturns200","Verify that /users is returning a 200 response","Does a get to /users and asserts a 200 response with a correct schema response"
"passed","Wed Jul 31 00:54:49 GMT 2024","Wed Jul 31 00:54:51 GMT 2024","1608","Test Suite","Gradle test","tests.Posts","tests.Posts","checkPostsReturns200","Verify that /posts is returning a 200 response","Does a get to /posts and asserts a 200 response with a correct schema response"
