"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /users and asserts a 200 response with a correct schema response","56","Verify that /users is returning a 200 response","Test Suite","Tue Mar 11 19:30:36 GMT 2025","passed","Tue Mar 11 19:30:36 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
"Does a get to /posts and asserts a 200 response with a correct schema response","1765","Verify that /posts is returning a 200 response","Test Suite","Tue Mar 11 19:30:34 GMT 2025","passed","Tue Mar 11 19:30:36 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /todos and asserts a 200 response with a correct schema response","63","Verify that /todos is returning a 200 response","Test Suite","Tue Mar 11 19:30:36 GMT 2025","passed","Tue Mar 11 19:30:36 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
