"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /todos and asserts that 200 items are returned","124","Verify that /todos is returning the correct amount of items","Test Suite","Mon May 19 02:59:55 GMT 2025","passed","Mon May 19 02:59:55 GMT 2025","tests.Todos","Gradle test","tests.Todos","checkTodosReturnsCorrectAmountOfItems"
"Does a get to /posts and asserts that 100 items are returned","1652","Verify that /posts is returning the correct amount of items","Test Suite","Mon May 19 02:59:53 GMT 2025","passed","Mon May 19 02:59:55 GMT 2025","tests.Posts","Gradle test","tests.Posts","checkPostsReturnsCorrectAmountOfItems"
"Does a get to /users and asserts that 10 items are returned","94","Verify that /users is returning the correct amount of items","Test Suite","Mon May 19 02:59:55 GMT 2025","passed","Mon May 19 02:59:55 GMT 2025","tests.Users","Gradle test","tests.Users","checkUsersReturnsCorrectAmountOfItems"
