"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 00:55:14 GMT 2024","Tue Feb 27 00:55:14 GMT 2024","135","Test Suite","Gradle test","tests.Todos","tests.Todos","checkTodosReturns200","Verify that /todos is returning a 200 response","Does a get to /todos and asserts a 200 response with a correct schema response"
"passed","Tue Feb 27 00:55:12 GMT 2024","Tue Feb 27 00:55:14 GMT 2024","1706","Test Suite","Gradle test","tests.Posts","tests.Posts","checkPostsReturns200","Verify that /posts is returning a 200 response","Does a get to /posts and asserts a 200 response with a correct schema response"
"passed","Tue Feb 27 00:55:14 GMT 2024","Tue Feb 27 00:55:14 GMT 2024","53","Test Suite","Gradle test","tests.Users","tests.Users","checkUsersReturns200","Verify that /users is returning a 200 response","Does a get to /users and asserts a 200 response with a correct schema response"
