"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /todos and asserts that 200 items are returned","107","Verify that /todos is returning the correct amount of items","Test Suite","Mon Nov 18 02:43:25 GMT 2024","passed","Mon Nov 18 02:43:25 GMT 2024","tests.Todos","Gradle test","tests.Todos","checkTodosReturnsCorrectAmountOfItems"
"Does a get to /users and asserts that 10 items are returned","65","Verify that /users is returning the correct amount of items","Test Suite","Mon Nov 18 02:43:25 GMT 2024","passed","Mon Nov 18 02:43:25 GMT 2024","tests.Users","Gradle test","tests.Users","checkUsersReturnsCorrectAmountOfItems"
"Does a get to /posts and asserts that 100 items are returned","1734","Verify that /posts is returning the correct amount of items","Test Suite","Mon Nov 18 02:43:23 GMT 2024","passed","Mon Nov 18 02:43:24 GMT 2024","tests.Posts","Gradle test","tests.Posts","checkPostsReturnsCorrectAmountOfItems"
