"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /todos and asserts a 200 response with a correct schema response","53","Verify that /todos is returning a 200 response","Test Suite","Mon Nov 11 01:14:45 GMT 2024","passed","Mon Nov 11 01:14:45 GMT 2024","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
"Does a get to /posts and asserts a 200 response with a correct schema response","1716","Verify that /posts is returning a 200 response","Test Suite","Mon Nov 11 01:14:43 GMT 2024","passed","Mon Nov 11 01:14:45 GMT 2024","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /users and asserts a 200 response with a correct schema response","254","Verify that /users is returning a 200 response","Test Suite","Mon Nov 11 01:14:45 GMT 2024","passed","Mon Nov 11 01:14:45 GMT 2024","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
