"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Does a get to /posts and asserts a 200 response with a correct schema response","1684","Verify that /posts is returning a 200 response","Test Suite","Wed Nov 27 01:20:06 GMT 2024","passed","Wed Nov 27 01:20:08 GMT 2024","tests.Posts","Gradle test","tests.Posts","checkPostsReturns200"
"Does a get to /users and asserts a 200 response with a correct schema response","65","Verify that /users is returning a 200 response","Test Suite","Wed Nov 27 01:20:08 GMT 2024","passed","Wed Nov 27 01:20:08 GMT 2024","tests.Users","Gradle test","tests.Users","checkUsersReturns200"
"Does a get to /todos and asserts a 200 response with a correct schema response","95","Verify that /todos is returning a 200 response","Test Suite","Wed Nov 27 01:20:08 GMT 2024","passed","Wed Nov 27 01:20:08 GMT 2024","tests.Todos","Gradle test","tests.Todos","checkTodosReturns200"
